Strategy,CAGR,Ann. Volatility,Sharpe Ratio,Max Drawdown,Win Rate,Profit Factor
SMA Crossover,-1.60%,13.24%,-0.06,-19.81%,50.14%,0.99
Buy & Hold,7.12%,13.22%,0.59,-15.77%,52.50%,1.11
